L,M,H
4936.337079702127,4994.37037037037,5052.403661038614
6845.259436693581,6918.7037037037035,6992.147970713826
7522.477664939653,7592.925925925926,7663.3741869122
7970.459366996978,8032.592592592592,8094.725818188206
8419.654790366321,8484.111111111111,8548.567431855901
8739.449735695141,8796.481481481482,8853.513227267822
8980.183127615634,9028.851851851852,9077.52057608807
9185.803818828581,9226.851851851852,9267.899884875123
9348.114722368851,9392.555555555555,9436.996388742258
9481.667378142954,9515.407407407407,9549.14743667186
9591.563456241754,9618.037037037036,9644.510617832319
9667.7627039804,9691.703703703704,9715.64470342701
9726.404517968122,9753.703703703704,9781.002889439287
9784.14961186122,9805.703703703704,9827.25779554619
9819.082878658213,9842.37037037037,9865.657862082528
9859.57623858221,9878.666666666666,9897.757094751121
9880.390550056269,9901.962962962964,9923.535375869658
9905.89506291965,9921.888888888889,9937.882714858128
9921.130171698649,9936.62962962963,9952.12908756061
9935.688523966444,9949.296296296296,9962.904068626147
9947.585463367852,9959.518518518518,9971.451573669185
9957.690999978338,9968.333333333334,9978.97566668833
9966.455800744254,9976.777777777777,9987.099754811301
9973.123493753714,9981.37037037037,9989.617246987027
9979.431694349581,9986.592592592593,9993.753490835605
9982.834402798628,9989.407407407407,9995.980412016186
9984.988899975833,9990.555555555555,9996.122211135276
9986.60409522107,9991.666666666666,9996.729238112262
9989.629298953892,9993.777777777777,9997.926256601662
9991.67014058532,9995.222222222223,9998.774303859125
9992.054155632808,9995.851851851852,9999.649548070896
9993.752031587792,9997.148148148148,10000.544264708504
9995.359390200121,9997.925925925925,10000.49246165173
9996.421424045484,9998.518518518518,10000.615612991553
9997.997687437615,9999.185185185184,10000.372682932753
9997.965143507285,9999.222222222223,10000.47930093716
9997.6623994704,9999.111111111111,10000.559822751822
9997.995732803734,9999.444444444445,10000.893156085156
9997.795584194668,9999.481481481482,10001.167378768296
9998.42960604005,9999.592592592593,10000.755579145136
9999.26157862477,9999.851851851852,10000.442125078935
9998.737317240231,9999.74074074074,10000.74416424125
9998.870551947177,9999.814814814816,10000.759077682455
9998.870551947177,9999.814814814816,10000.759077682455
9999.774110405217,9999.962962962964,10000.15181552071
9999.548220751254,9999.925925925925,10000.303631100596
